DateTime(yyyy-mm-dd hh:mm:ss.000),Volt,Current,,,State,Vin,Vout,Vdiff,Tdiff,SOC,SOH,SOP,FCC,RC,Cycle,Vmax,VmaxNo,Vmin,VminNo,Vavg,Tmax,TmaxNo,Tmin,TminNo,Tavg,Cell1,Cell2,Cell3,Cell4,Cell5,Cell6,Cell7,Cell8,Cell9,Cell10,Cell11,Cell12,Cell13,Cell14,Cell15,Cell16,Cell17,Cell18,Cell19,Cell20,Temp1,Temp2,Temp3,Temp4,TempFET,CB0,CB1,CB2,CB3,Fault0,Fault1,BmsSt0,BmsSt1,BmsSt2,BmsSt3,Ver,SerialNo,Manufacture
56:18.5,71.47,0.06,0.92,0.0552,0,71.47,71.47,1,0,28.1,0,75,0,0,0,3574,2,3573,1,3573,21,1,21,1,21,3573,3574,3573,3573,3573,3573,3574,3574,3573,3573,3574,3574,3574,3574,3574,3574,3574,3574,3574,3574,210,210,210,210,0,0,0,0,0,0,0,0,60,0,0,1,1,2023-10-12
56:19.5,71.47,0.06,0.92,0.0552,0,71.47,71.47,1,0,28.1,0,75,0,0,0,3574,2,3573,1,3573,21,1,21,1,21,3573,3574,3573,3573,3573,3573,3574,3574,3573,3573,3574,3574,3574,3574,3574,3574,3574,3574,3574,3574,210,210,210,210,0,0,0,0,0,0,0,0,60,0,0,1,1,2023-10-12
56:20.5,71.47,0.07,0.92,0.0644,0,71.47,71.47,1,0,28.1,0,75,0,0,0,3574,2,3573,1,3573,21,1,21,1,21,3573,3574,3573,3573,3573,3573,3574,3574,3574,3573,3574,3574,3574,3574,3574,3574,3574,3574,3574,3574,210,210,210,210,0,0,0,0,0,0,0,0,60,0,0,1,1,2023-10-12
56:21.5,71.47,0.07,0.92,0.0644,0,71.47,71.47,1,0,28.1,0,75,0,0,0,3574,2,3573,1,3573,21,1,21,1,21,3573,3574,3573,3573,3573,3573,3574,3574,3573,3573,3573,3574,3574,3574,3574,3574,3574,3574,3574,3574,210,210,210,210,0,0,0,0,0,0,0,0,60,0,0,1,1,2023-10-12
56:22.5,71.47,0.07,0.92,0.0644,0,71.47,71.47,1,0,28.1,0,75,0,0,0,3574,2,3573,1,3573,21,1,21,1,21,3573,3574,3573,3573,3573,3574,3574,3574,3573,3573,3574,3574,3574,3574,3574,3574,3573,3574,3574,3574,210,210,210,210,0,0,0,0,0,0,0,0,60,0,0,1,1,2023-10-12
56:23.5,71.47,0.07,0.92,0.0644,0,71.47,71.47,1,0,28.1,0,75,0,0,0,3574,2,3573,1,3573,21,1,21,1,21,3573,3574,3573,3573,3573,3573,3574,3574,3573,3573,3574,3574,3574,3574,3574,3574,3574,3574,3574,3574,210,210,210,210,0,0,0,0,0,0,0,0,60,0,0,1,1,2023-10-12
56:24.5,71.47,0.07,0.92,0.0644,0,71.47,71.47,1,0,28.1,0,75,0,0,0,3574,2,3573,1,3573,21,1,21,1,21,3573,3574,3573,3573,3573,3574,3574,3574,3573,3573,3574,3574,3574,3574,3574,3574,3574,3574,3574,3574,210,210,210,210,0,0,0,0,0,0,0,0,60,0,0,1,1,2023-10-12
56:25.5,71.47,0.07,0.92,0.0644,0,71.47,71.47,1,0,28.1,0,75,0,0,0,3574,2,3573,1,3573,21,1,21,1,21,3573,3574,3573,3573,3573,3574,3574,3574,3573,3573,3574,3574,3574,3574,3574,3574,3574,3573,3574,3574,210,210,210,210,0,0,0,0,0,0,0,0,60,0,0,1,1,2023-10-12
56:26.5,71.47,0.08,0.92,0.0736,0,71.47,71.47,1,0,28.1,0,75,0,0,0,3574,2,3573,1,3573,21,1,21,1,21,3573,3574,3573,3573,3573,3573,3574,3574,3573,3573,3574,3574,3574,3574,3574,3574,3574,3573,3574,3573,210,210,210,210,0,0,0,0,0,0,0,0,60,0,0,1,1,2023-10-12
56:27.5,71.47,0.08,0.92,0.0736,0,71.47,71.47,1,0,28.1,0,75,0,0,0,3574,2,3573,1,3573,21,1,21,1,21,3573,3574,3573,3573,3573,3573,3574,3574,3573,3573,3573,3574,3574,3574,3574,3574,3574,3574,3574,3574,210,210,210,210,0,0,0,0,0,0,0,0,60,0,0,1,1,2023-10-12
56:28.5,71.47,0.07,0.92,0.0644,0,71.47,71.47,1,0,28.1,0,75,0,0,0,3574,2,3573,1,3573,21,1,21,1,21,3573,3574,3573,3573,3573,3573,3574,3574,3573,3573,3573,3574,3574,3574,3574,3574,3574,3573,3574,3573,210,210,210,210,0,0,0,0,0,0,0,0,60,0,0,1,1,2023-10-12
56:29.5,71.47,0.07,0.92,0.0644,0,71.47,71.47,1,0,28.1,0,75,0,0,0,3574,2,3573,1,3573,21,1,21,1,21,3573,3574,3573,3573,3573,3574,3574,3574,3574,3573,3573,3574,3574,3574,3574,3574,3574,3573,3574,3574,210,210,210,210,0,0,0,0,0,0,0,0,60,0,0,1,1,2023-10-12
56:30.5,71.47,0.08,0.92,0.0736,0,71.47,71.47,1,0,28.1,0,75,0,0,0,3574,1,3573,3,3573,21,1,21,1,21,3574,3574,3573,3573,3573,3573,3574,3574,3573,3573,3574,3574,3574,3574,3574,3574,3574,3574,3574,3574,210,210,210,210,0,0,0,0,0,0,0,0,60,0,0,1,1,2023-10-12
56:31.5,71.47,0.07,0.92,0.0644,0,71.47,71.47,1,0,28.1,0,75,0,0,0,3574,2,3573,1,3573,21,1,21,1,21,3573,3574,3573,3573,3573,3573,3574,3574,3573,3573,3574,3574,3574,3574,3574,3574,3574,3573,3574,3574,210,210,210,210,0,0,0,0,0,0,0,0,60,0,0,1,1,2023-10-12
56:32.5,71.47,0.08,0.92,0.0736,0,71.47,71.47,1,0,28.1,0,75,0,0,0,3574,2,3573,1,3573,21,1,21,1,21,3573,3574,3573,3573,3573,3573,3574,3574,3573,3573,3574,3574,3574,3574,3574,3574,3573,3574,3574,3573,210,210,210,210,0,0,0,0,0,0,0,0,60,0,0,1,1,2023-10-12
56:33.5,71.48,0.08,0.92,0.0736,0,71.47,71.47,3,0,28.1,0,75,0,0,0,3576,15,3573,1,3573,21,1,21,1,21,3573,3574,3573,3573,3573,3574,3574,3574,3573,3573,3573,3574,3574,3574,3576,3574,3574,3574,3574,3574,210,210,210,210,0,0,0,0,0,0,0,0,60,0,0,1,1,2023-10-12
56:34.5,71.47,0.09,0.92,0.0828,0,71.47,71.47,1,0,28.1,0,75,0,0,0,3574,2,3573,1,3573,21,1,21,1,21,3573,3574,3573,3573,3573,3573,3574,3574,3573,3573,3574,3574,3574,3574,3574,3574,3574,3573,3574,3574,210,210,210,210,0,0,0,0,0,0,0,0,60,0,0,1,1,2023-10-12
56:35.5,71.48,0.08,0.92,0.0736,0,71.47,71.47,3,0,28.1,0,75,0,0,0,3576,15,3573,1,3573,21,1,21,1,21,3573,3574,3573,3573,3574,3573,3574,3574,3573,3573,3574,3574,3574,3574,3576,3574,3574,3574,3574,3574,210,210,210,210,0,0,0,0,0,0,0,0,60,0,0,1,1,2023-10-12
56:36.5,71.47,0.08,0.92,0.0736,0,71.47,71.47,1,0,28.1,0,75,0,0,0,3574,2,3573,1,3573,21,1,21,1,21,3573,3574,3573,3573,3573,3574,3574,3574,3574,3573,3573,3574,3574,3574,3574,3574,3574,3574,3574,3573,210,210,210,210,0,0,0,0,0,0,0,0,60,0,0,1,1,2023-10-12
56:37.5,71.47,0.09,0.92,0.0828,0,71.47,71.47,1,0,28.1,0,75,0,0,0,3574,2,3573,1,3573,21,1,21,1,21,3573,3574,3573,3573,3573,3574,3574,3574,3574,3573,3574,3574,3574,3574,3574,3574,3574,3573,3574,3573,210,210,210,210,0,0,0,0,0,0,0,0,60,0,0,1,1,2023-10-12
56:38.5,71.48,0.09,0.92,0.0828,0,71.47,71.47,3,0,28.1,0,75,0,0,0,3576,15,3573,1,3573,21,1,21,1,21,3573,3574,3573,3573,3573,3573,3574,3574,3574,3573,3573,3574,3574,3574,3576,3574,3574,3574,3574,3574,210,210,210,210,0,0,0,0,0,0,0,0,60,0,0,1,1,2023-10-12
56:39.5,71.47,0.1,0.92,0.092,0,71.47,71.47,3,0,28.1,0,75,0,0,0,3576,15,3573,1,3573,21,1,21,1,21,3573,3574,3573,3573,3573,3573,3574,3574,3573,3573,3573,3574,3574,3574,3576,3574,3574,3574,3573,3573,210,210,210,210,0,0,0,0,0,0,0,0,60,0,0,1,1,2023-10-12
56:40.5,71.47,0.09,0.92,0.0828,0,71.47,71.47,1,0,28.1,0,75,0,0,0,3574,2,3573,1,3573,21,1,21,1,21,3573,3574,3573,3573,3574,3573,3574,3574,3573,3573,3573,3574,3574,3574,3574,3574,3574,3574,3573,3573,210,210,210,210,0,0,0,0,0,0,0,0,60,0,0,1,1,2023-10-12
56:41.5,71.47,0.09,0.92,0.0828,0,71.47,71.47,1,0,28.1,0,75,0,0,0,3574,2,3573,1,3573,21,1,21,1,21,3573,3574,3573,3573,3573,3574,3573,3574,3574,3573,3573,3574,3574,3574,3574,3574,3574,3574,3574,3574,210,210,210,210,0,0,0,0,0,0,0,0,60,0,0,1,1,2023-10-12
56:42.5,71.47,0.09,0.92,0.0828,0,71.47,71.47,1,0,28.1,0,75,0,0,0,3574,2,3573,1,3573,21,1,21,1,21,3573,3574,3573,3573,3573,3573,3574,3574,3573,3573,3573,3574,3574,3574,3574,3574,3574,3573,3574,3574,210,210,210,210,0,0,0,0,0,0,0,0,60,0,0,1,1,2023-10-12
56:43.5,71.47,0.09,0.92,0.0828,0,71.47,71.47,1,0,28.1,0,75,0,0,0,3574,2,3573,1,3573,21,1,21,1,21,3573,3574,3573,3573,3573,3573,3574,3574,3573,3573,3573,3574,3574,3574,3574,3574,3574,3574,3573,3573,210,210,210,210,0,0,0,0,0,0,0,0,60,0,0,1,1,2023-10-12
56:44.5,71.47,0.09,0.92,0.0828,0,71.47,71.47,1,0,28.1,0,75,0,0,0,3574,2,3573,1,3573,21,1,21,1,21,3573,3574,3573,3573,3573,3573,3574,3574,3573,3573,3574,3574,3574,3574,3574,3574,3574,3574,3574,3573,210,210,210,210,0,0,0,0,0,0,0,0,60,0,0,1,1,2023-10-12
56:45.5,71.47,0.09,0.92,0.0828,0,71.47,71.47,3,0,28.1,0,75,0,0,0,3574,2,3571,3,3573,21,1,21,1,21,3573,3574,3571,3573,3573,3574,3574,3574,3573,3573,3573,3574,3574,3574,3574,3574,3574,3574,3574,3574,210,210,210,210,0,0,0,0,0,0,0,0,60,0,0,1,1,2023-10-12
56:46.5,71.47,0.09,0.92,0.0828,0,71.47,71.47,1,0,28.1,0,75,0,0,0,3574,2,3573,1,3573,21,1,21,1,21,3573,3574,3573,3573,3574,3574,3574,3574,3573,3573,3573,3574,3574,3574,3574,3574,3574,3574,3574,3574,210,210,210,210,0,0,0,0,0,0,0,0,60,0,0,1,1,2023-10-12
