DateTime(yyyy-mm-dd hh:mm:ss.000),Volt,Current,,,State,Vin,Vout,Vdiff,Tdiff,SOC,SOH,SOP,FCC,RC,Cycle,Vmax,VmaxNo,Vmin,VminNo,Vavg,Tmax,TmaxNo,Tmin,TminNo,Tavg,Cell1,Cell2,Cell3,Cell4,Cell5,Cell6,Cell7,Cell8,Cell9,Cell10,Cell11,Cell12,Cell13,Cell14,Cell15,Cell16,Cell17,Cell18,Cell19,Cell20,Temp1,Temp2,Temp3,Temp4,TempFET,CB0,CB1,CB2,CB3,Fault0,Fault1,BmsSt0,BmsSt1,BmsSt2,BmsSt3,Ver,SerialNo,Manufacture
23:14.3,71.35,0.05,0.85,0.0425,0,71.35,71.35,5,1,26.9,0,75,0,0,0,3570,16,3565,10,3567,22,2,21,2,21,3567,3567,3568,3567,3568,3567,3567,3568,3567,3565,3568,3568,3568,3568,3568,3570,3568,3568,3568,3568,220,210,210,210,0,0,0,0,0,0,0,0,60,0,0,1,1,2023-10-12
23:15.3,71.35,0.05,0.85,0.0425,0,71.35,71.35,5,1,26.9,0,75,0,0,0,3570,16,3565,10,3567,22,2,21,2,21,3567,3567,3568,3567,3568,3567,3567,3568,3567,3565,3568,3568,3568,3568,3568,3570,3568,3568,3568,3568,220,210,210,210,0,0,0,0,0,0,0,0,60,0,0,1,1,2023-10-12
23:16.3,71.35,0.05,0.85,0.0425,0,71.35,71.35,5,1,26.9,0,75,0,0,0,3570,16,3565,7,3567,22,2,21,2,21,3567,3567,3568,3567,3568,3567,3565,3568,3567,3565,3568,3568,3568,3568,3568,3570,3568,3568,3568,3568,220,210,210,210,0,0,0,0,0,0,0,0,60,0,0,1,1,2023-10-12
23:17.3,71.35,0.05,0.85,0.0425,0,71.35,71.35,5,1,26.9,0,75,0,0,0,3570,16,3565,10,3567,22,2,21,2,21,3567,3567,3567,3567,3568,3567,3567,3568,3567,3565,3568,3568,3568,3568,3568,3570,3568,3570,3568,3568,220,210,210,210,0,0,0,0,0,0,0,0,60,0,0,1,1,2023-10-12
23:18.3,71.35,0.05,0.85,0.0425,0,71.35,71.35,5,1,26.9,0,75,0,0,0,3570,16,3565,10,3567,22,2,21,2,21,3567,3567,3568,3567,3567,3567,3567,3568,3567,3565,3568,3568,3568,3568,3568,3570,3568,3568,3568,3568,220,210,210,210,0,0,0,0,0,0,0,0,60,0,0,1,1,2023-10-12
23:19.3,71.35,0.06,0.85,0.051,0,71.35,71.35,5,1,26.9,0,75,0,0,0,3570,14,3565,10,3567,22,2,21,2,21,3567,3567,3567,3567,3567,3567,3567,3568,3567,3565,3568,3568,3568,3570,3568,3570,3568,3568,3568,3568,220,210,210,210,0,0,0,0,0,0,0,0,60,0,0,1,1,2023-10-12
23:20.3,71.35,0.05,0.85,0.0425,0,71.35,71.35,5,1,26.9,0,75,0,0,0,3570,16,3565,10,3567,22,2,21,3,21,3567,3567,3568,3567,3568,3567,3567,3568,3567,3565,3568,3568,3568,3568,3568,3570,3568,3568,3568,3568,220,220,210,210,0,0,0,0,0,0,0,0,60,0,0,1,1,2023-10-12
23:21.3,71.35,0.05,0.85,0.0425,0,71.35,71.35,5,1,26.9,0,75,0,0,0,3570,16,3565,7,3567,22,2,21,2,21,3567,3567,3568,3567,3568,3567,3565,3568,3567,3565,3568,3568,3568,3568,3568,3570,3568,3568,3568,3568,220,210,210,210,0,0,0,0,0,0,0,0,60,0,0,1,1,2023-10-12
23:22.3,71.35,0.05,0.85,0.0425,0,71.35,71.35,5,1,26.9,0,75,0,0,0,3570,16,3565,10,3567,22,2,21,3,21,3567,3567,3567,3567,3567,3567,3567,3568,3567,3565,3568,3568,3568,3568,3568,3570,3568,3568,3568,3568,220,220,210,210,0,0,0,0,0,0,0,0,60,0,0,1,1,2023-10-12
23:23.3,71.35,0.05,0.85,0.0425,0,71.35,71.35,5,1,26.9,0,75,0,0,0,3570,16,3565,7,3567,22,2,21,2,21,3567,3567,3568,3567,3568,3567,3565,3568,3567,3565,3568,3568,3568,3568,3568,3570,3568,3568,3568,3568,220,210,210,210,0,0,0,0,0,0,0,0,60,0,0,1,1,2023-10-12
23:24.3,71.35,0.05,0.85,0.0425,0,71.35,71.35,5,1,26.9,0,75,0,0,0,3570,16,3565,10,3567,22,2,21,2,21,3567,3567,3567,3567,3567,3567,3567,3568,3567,3565,3568,3568,3568,3568,3568,3570,3568,3568,3568,3568,220,210,210,210,0,0,0,0,0,0,0,0,60,0,0,1,1,2023-10-12
23:25.3,71.35,0.06,0.85,0.051,0,71.35,71.35,5,1,26.9,0,75,0,0,0,3570,16,3565,7,3567,22,2,21,2,21,3567,3567,3567,3567,3568,3567,3565,3568,3567,3565,3568,3568,3568,3568,3568,3570,3568,3568,3568,3568,220,210,210,210,0,0,0,0,0,0,0,0,60,0,0,1,1,2023-10-12
23:26.3,71.35,0.06,0.85,0.051,0,71.35,71.35,5,1,26.9,0,75,0,0,0,3570,16,3565,10,3567,22,2,21,2,21,3567,3567,3567,3567,3568,3567,3567,3568,3567,3565,3568,3568,3568,3568,3568,3570,3568,3568,3568,3568,220,210,210,210,0,0,0,0,0,0,0,0,60,0,0,1,1,2023-10-12
23:27.3,71.35,0.06,0.85,0.051,0,71.34,71.34,3,1,26.9,0,75,0,0,0,3568,5,3565,7,3567,22,2,21,2,21,3567,3567,3567,3567,3568,3567,3565,3568,3567,3565,3568,3568,3568,3568,3568,3568,3568,3568,3568,3568,220,210,210,210,0,0,0,0,0,0,0,0,60,0,0,1,1,2023-10-12
23:28.3,71.35,0.06,0.85,0.051,0,71.35,71.35,5,1,26.9,0,75,0,0,0,3570,16,3565,10,3567,22,2,21,2,21,3567,3567,3568,3567,3568,3567,3567,3568,3567,3565,3568,3568,3568,3568,3568,3570,3568,3568,3568,3568,220,210,210,210,0,0,0,0,0,0,0,0,60,0,0,1,1,2023-10-12
23:29.3,71.35,0.06,0.85,0.051,0,71.35,71.35,5,1,26.9,0,75,0,0,0,3570,12,3565,10,3567,22,2,21,2,21,3567,3567,3568,3567,3567,3567,3567,3568,3567,3565,3568,3570,3568,3568,3568,3570,3568,3568,3568,3568,220,210,210,210,0,0,0,0,0,0,0,0,60,0,0,1,1,2023-10-12
23:30.3,71.35,0.06,0.85,0.051,0,71.35,71.35,5,1,26.9,0,75,0,0,0,3570,16,3565,10,3567,22,2,21,2,21,3567,3567,3567,3567,3568,3567,3567,3567,3567,3565,3568,3568,3568,3568,3568,3570,3568,3568,3568,3568,220,210,210,210,0,0,0,0,0,0,0,0,60,0,0,1,1,2023-10-12
23:31.3,71.35,0.06,0.85,0.051,0,71.35,71.35,5,1,26.9,0,75,0,0,0,3570,16,3565,10,3567,22,2,21,2,21,3567,3567,3567,3567,3568,3567,3567,3568,3567,3565,3568,3568,3568,3568,3568,3570,3568,3568,3568,3568,220,210,210,210,0,0,0,0,0,0,0,0,60,0,0,1,1,2023-10-12
23:32.3,71.35,0.06,0.85,0.051,0,71.35,71.35,5,1,26.9,0,75,0,0,0,3570,12,3565,7,3567,22,2,21,2,21,3567,3567,3567,3567,3568,3567,3565,3568,3567,3565,3568,3570,3568,3568,3568,3568,3568,3568,3568,3568,220,210,210,210,0,0,0,0,0,0,0,0,60,0,0,1,1,2023-10-12
