DateTime(yyyy-mm-dd hh:mm:ss.000),Volt,Current,,,State,Vin,Vout,Vdiff,Tdiff,SOC,SOH,SOP,FCC,RC,Cycle,Vmax,VmaxNo,Vmin,VminNo,Vavg,Tmax,TmaxNo,Tmin,TminNo,Tavg,Cell1,Cell2,Cell3,Cell4,Cell5,Cell6,Cell7,Cell8,Cell9,Cell10,Cell11,Cell12,Cell13,Cell14,Cell15,Cell16,Cell17,Cell18,Cell19,Cell20,Temp1,Temp2,Temp3,Temp4,TempFET,CB0,CB1,CB2,CB3,Fault0,Fault1,BmsSt0,BmsSt1,BmsSt2,BmsSt3,Ver,SerialNo,Manufacture
58:16.7,71.8,0.12,0.8,0.096,0,71.8,71.8,4,0,29.6,0,75,0,0,0,3592,4,3588,20,3590,22,1,22,1,22,3591,3591,3591,3592,3592,3592,3592,3592,3591,3591,3589,3589,3589,3589,3589,3589,3589,3589,3589,3588,220,220,220,220,0,0,0,0,0,0,0,0,60,0,0,1,1,2023-10-05
58:17.7,71.8,0.12,0.8,0.096,0,71.8,71.8,4,0,29.6,0,75,0,0,0,3592,5,3588,20,3590,22,1,22,1,22,3591,3591,3591,3591,3592,3592,3592,3591,3592,3589,3589,3589,3589,3589,3589,3589,3589,3589,3589,3588,220,220,220,220,0,0,0,0,0,0,0,0,60,0,0,1,1,2023-10-05
58:18.7,71.8,0.12,0.8,0.096,0,71.8,71.8,4,0,29.6,0,75,0,0,0,3592,4,3588,11,3590,22,1,22,1,22,3591,3591,3591,3592,3592,3592,3592,3592,3591,3591,3588,3588,3589,3589,3588,3589,3589,3589,3589,3588,220,220,220,220,0,0,0,0,0,0,0,0,60,0,0,1,1,2023-10-05
58:19.7,71.8,0.12,0.8,0.096,0,71.8,71.8,4,0,29.6,0,75,0,0,0,3592,5,3588,12,3590,22,1,22,1,22,3591,3591,3591,3591,3592,3592,3592,3592,3591,3591,3589,3588,3589,3589,3589,3589,3589,3589,3589,3588,220,220,220,220,0,0,0,0,0,0,0,0,60,0,0,1,1,2023-10-05
58:20.7,71.8,0.12,0.8,0.096,0,71.8,71.8,4,0,29.6,0,75,0,0,0,3592,4,3588,12,3590,22,1,22,1,22,3591,3591,3591,3592,3591,3592,3592,3591,3592,3591,3589,3588,3589,3589,3589,3589,3589,3589,3589,3588,220,220,220,220,0,0,0,0,0,0,0,0,60,0,0,1,1,2023-10-05
58:21.7,71.8,0.12,0.8,0.096,0,71.8,71.8,4,0,29.6,0,75,0,0,0,3592,4,3588,20,3590,22,1,22,1,22,3591,3591,3591,3592,3592,3592,3592,3592,3591,3591,3589,3589,3589,3589,3589,3589,3589,3589,3589,3588,220,220,220,220,0,0,0,0,0,0,0,0,60,0,0,1,1,2023-10-05
58:22.7,71.81,0.12,0.8,0.096,0,71.8,71.8,4,0,29.6,0,75,0,0,0,3592,4,3588,20,3590,22,1,22,1,22,3591,3591,3591,3592,3592,3592,3592,3592,3592,3591,3589,3589,3589,3589,3589,3589,3589,3589,3589,3588,220,220,220,220,0,0,0,0,0,0,0,0,60,0,0,1,1,2023-10-05
58:23.7,71.8,0.12,0.8,0.096,0,71.8,71.8,4,0,29.6,0,75,0,0,0,3592,4,3588,11,3590,22,1,22,1,22,3591,3591,3591,3592,3591,3592,3591,3591,3592,3591,3588,3589,3589,3589,3589,3589,3589,3589,3589,3588,220,220,220,220,0,0,0,0,0,0,0,0,60,0,0,1,1,2023-10-05
58:24.7,71.8,0.12,0.8,0.096,0,71.8,71.8,4,0,29.6,0,75,0,0,0,3592,4,3588,11,3590,22,1,22,1,22,3591,3591,3591,3592,3592,3592,3592,3592,3591,3591,3588,3589,3589,3589,3589,3589,3589,3589,3589,3589,220,220,220,220,0,0,0,0,0,0,0,0,60,0,0,1,1,2023-10-05
58:25.7,71.81,0.12,0.8,0.096,0,71.8,71.8,4,0,29.6,0,75,0,0,0,3592,4,3588,20,3590,22,1,22,1,22,3591,3591,3591,3592,3592,3592,3592,3592,3592,3591,3589,3589,3589,3589,3589,3589,3589,3589,3589,3588,220,220,220,220,0,0,0,0,0,0,0,0,60,0,0,1,1,2023-10-05
58:26.7,71.8,0.12,0.8,0.096,0,71.8,71.8,4,0,29.6,0,75,0,0,0,3592,4,3588,12,3590,22,1,22,1,22,3591,3591,3591,3592,3592,3592,3592,3592,3591,3591,3589,3588,3589,3589,3589,3589,3589,3589,3589,3588,220,220,220,220,0,0,0,0,0,0,0,0,60,0,0,1,1,2023-10-05
58:27.7,71.8,0.12,0.8,0.096,0,71.8,71.8,4,0,29.6,0,75,0,0,0,3592,4,3588,11,3590,22,1,22,1,22,3591,3591,3591,3592,3591,3592,3592,3592,3592,3591,3588,3589,3589,3589,3589,3589,3589,3589,3589,3588,220,220,220,220,0,0,0,0,0,0,0,0,60,0,0,1,1,2023-10-05
