DateTime(yyyy-mm-dd hh:mm:ss.000),Volt,Current,,,State,Vin,Vout,Vdiff,Tdiff,SOC,SOH,SOP,FCC,RC,Cycle,Vmax,VmaxNo,Vmin,VminNo,Vavg,Tmax,TmaxNo,Tmin,TminNo,Tavg,Cell1,Cell2,Cell3,Cell4,Cell5,Cell6,Cell7,Cell8,Cell9,Cell10,Cell11,Cell12,Cell13,Cell14,Cell15,Cell16,Cell17,Cell18,Cell19,Cell20,Temp1,Temp2,Temp3,Temp4,TempFET,CB0,CB1,CB2,CB3,Fault0,Fault1,BmsSt0,BmsSt1,BmsSt2,BmsSt3,Ver,SerialNo,Manufacture
08:44.3,71.86,0.43,0.85,0.3655,0,71.86,71.86,3,0,29,0,75,0,0,0,3595,5,3592,11,3593,22,1,22,1,22,3594,3594,3594,3594,3595,3595,3595,3594,3594,3594,3592,3592,3592,3592,3592,3592,3592,3592,3592,3592,220,220,220,220,0,0,0,0,0,0,0,0,60,0,0,1,1,2023-10-05
08:45.3,71.86,0.43,0.85,0.3655,0,71.86,71.86,3,0,29,0,75,0,0,0,3595,5,3592,11,3593,22,1,22,1,22,3594,3594,3594,3594,3595,3595,3595,3594,3594,3594,3592,3592,3592,3592,3592,3592,3592,3592,3592,3592,220,220,220,220,0,0,0,0,0,0,0,0,60,0,0,1,1,2023-10-05
08:46.3,71.86,0.43,0.85,0.3655,0,71.86,71.86,3,0,29,0,75,0,0,0,3595,5,3592,11,3593,22,1,22,1,22,3594,3594,3594,3594,3595,3595,3595,3594,3594,3594,3592,3592,3592,3592,3592,3592,3592,3592,3592,3592,220,220,220,220,0,0,0,0,0,0,0,0,60,0,0,1,1,2023-10-05
08:47.3,71.86,0.43,0.85,0.3655,0,71.86,71.86,3,0,29,0,75,0,0,0,3595,5,3592,11,3593,22,1,22,1,22,3594,3594,3594,3594,3595,3595,3595,3594,3594,3594,3592,3592,3592,3592,3592,3592,3592,3592,3592,3592,220,220,220,220,0,0,0,0,0,0,0,0,60,0,0,1,1,2023-10-05
08:48.3,71.86,0.43,0.85,0.3655,0,71.86,71.86,3,0,29,0,75,0,0,0,3595,5,3592,11,3593,22,1,22,1,22,3594,3594,3594,3594,3595,3595,3595,3594,3594,3594,3592,3592,3592,3592,3592,3592,3592,3592,3592,3592,220,220,220,220,0,0,0,0,0,0,0,0,60,0,0,1,1,2023-10-05
08:49.3,71.86,0.43,0.85,0.3655,0,71.86,71.86,3,0,29,0,75,0,0,0,3595,5,3592,11,3593,22,1,22,1,22,3594,3594,3594,3594,3595,3595,3595,3594,3594,3594,3592,3592,3592,3592,3592,3592,3592,3592,3592,3592,220,220,220,220,0,0,0,0,0,0,0,0,60,0,0,1,1,2023-10-05
08:50.3,71.86,0.43,0.85,0.3655,0,71.86,71.86,3,0,29,0,75,0,0,0,3595,5,3592,11,3593,22,1,22,1,22,3594,3594,3594,3594,3595,3595,3595,3594,3594,3594,3592,3592,3592,3592,3592,3592,3592,3592,3592,3592,220,220,220,220,0,0,0,0,0,0,0,0,60,0,0,1,1,2023-10-05
08:51.3,71.86,0.43,0.85,0.3655,0,71.86,71.86,3,0,29,0,75,0,0,0,3595,5,3592,11,3593,22,1,22,1,22,3594,3594,3594,3594,3595,3595,3595,3594,3594,3594,3592,3592,3592,3592,3592,3592,3592,3592,3592,3592,220,220,220,220,0,0,0,0,0,0,0,0,60,0,0,1,1,2023-10-05
08:52.3,71.86,0.43,0.85,0.3655,0,71.86,71.86,3,0,29,0,75,0,0,0,3595,5,3592,11,3593,22,1,22,1,22,3594,3594,3594,3594,3595,3595,3595,3594,3594,3594,3592,3592,3592,3592,3592,3592,3592,3592,3592,3592,220,220,220,220,0,0,0,0,0,0,0,0,60,0,0,1,1,2023-10-05
08:53.3,71.86,0.43,0.85,0.3655,0,71.86,71.86,3,0,29,0,75,0,0,0,3595,5,3592,11,3593,22,1,22,1,22,3594,3594,3594,3594,3595,3595,3595,3594,3594,3594,3592,3592,3592,3592,3592,3592,3592,3592,3592,3592,220,220,220,220,0,0,0,0,0,0,0,0,60,0,0,1,1,2023-10-05
08:54.3,71.86,0.43,0.85,0.3655,0,71.86,71.86,3,0,29,0,75,0,0,0,3595,5,3592,11,3593,22,1,22,1,22,3594,3594,3594,3594,3595,3595,3595,3594,3594,3594,3592,3592,3592,3592,3592,3592,3592,3592,3592,3592,220,220,220,220,0,0,0,0,0,0,0,0,60,0,0,1,1,2023-10-05
08:55.3,71.86,0.43,0.85,0.3655,0,71.86,71.86,3,0,29,0,75,0,0,0,3595,5,3592,11,3593,22,1,22,1,22,3594,3594,3594,3594,3595,3595,3595,3594,3594,3594,3592,3592,3592,3592,3592,3592,3592,3592,3592,3592,220,220,220,220,0,0,0,0,0,0,0,0,60,0,0,1,1,2023-10-05
08:56.3,71.86,0.43,0.85,0.3655,0,71.86,71.86,3,0,29,0,75,0,0,0,3595,5,3592,11,3593,22,1,22,1,22,3594,3594,3594,3594,3595,3595,3595,3594,3594,3594,3592,3592,3592,3592,3592,3592,3592,3592,3592,3592,220,220,220,220,0,0,0,0,0,0,0,0,60,0,0,1,1,2023-10-05
08:57.3,71.86,0.43,0.85,0.3655,0,71.86,71.86,3,0,29,0,75,0,0,0,3595,5,3592,11,3593,22,1,22,1,22,3594,3594,3594,3594,3595,3595,3595,3594,3594,3594,3592,3592,3592,3592,3592,3592,3592,3592,3592,3592,220,220,220,220,0,0,0,0,0,0,0,0,60,0,0,1,1,2023-10-05
08:58.3,71.86,0.43,0.85,0.3655,0,71.86,71.86,3,0,29,0,75,0,0,0,3595,5,3592,11,3593,22,1,22,1,22,3594,3594,3594,3594,3595,3595,3595,3594,3594,3594,3592,3592,3592,3592,3592,3592,3592,3592,3592,3592,220,220,220,220,0,0,0,0,0,0,0,0,60,0,0,1,1,2023-10-05
08:59.3,71.86,0.43,0.85,0.3655,0,71.86,71.86,3,0,29,0,75,0,0,0,3595,5,3592,11,3593,22,1,22,1,22,3594,3594,3594,3594,3595,3595,3595,3594,3594,3594,3592,3592,3592,3592,3592,3592,3592,3592,3592,3592,220,220,220,220,0,0,0,0,0,0,0,0,60,0,0,1,1,2023-10-05
09:00.3,71.86,0.43,0.85,0.3655,0,71.86,71.86,3,0,29,0,75,0,0,0,3595,5,3592,11,3593,22,1,22,1,22,3594,3594,3594,3594,3595,3595,3595,3594,3594,3594,3592,3592,3592,3592,3592,3592,3592,3592,3592,3592,220,220,220,220,0,0,0,0,0,0,0,0,60,0,0,1,1,2023-10-05
09:01.3,71.86,0.43,0.85,0.3655,0,71.86,71.86,3,0,29,0,75,0,0,0,3595,5,3592,11,3593,22,1,22,1,22,3594,3594,3594,3594,3595,3595,3595,3594,3594,3594,3592,3592,3592,3592,3592,3592,3592,3592,3592,3592,220,220,220,220,0,0,0,0,0,0,0,0,60,0,0,1,1,2023-10-05
09:02.3,71.86,0.43,0.85,0.3655,0,71.86,71.86,3,0,29,0,75,0,0,0,3595,5,3592,11,3593,22,1,22,1,22,3594,3594,3594,3594,3595,3595,3595,3594,3594,3594,3592,3592,3592,3592,3592,3592,3592,3592,3592,3592,220,220,220,220,0,0,0,0,0,0,0,0,60,0,0,1,1,2023-10-05
09:03.3,71.86,0.43,0.85,0.3655,0,71.86,71.86,3,0,29,0,75,0,0,0,3595,5,3592,11,3593,22,1,22,1,22,3594,3594,3594,3594,3595,3595,3595,3594,3594,3594,3592,3592,3592,3592,3592,3592,3592,3592,3592,3592,220,220,220,220,0,0,0,0,0,0,0,0,60,0,0,1,1,2023-10-05
09:04.3,71.86,0.43,0.85,0.3655,0,71.86,71.86,3,0,29,0,75,0,0,0,3595,5,3592,11,3593,22,1,22,1,22,3594,3594,3594,3594,3595,3595,3595,3594,3594,3594,3592,3592,3592,3592,3592,3592,3592,3592,3592,3592,220,220,220,220,0,0,0,0,0,0,0,0,60,0,0,1,1,2023-10-05
09:05.3,71.86,0.43,0.85,0.3655,0,71.86,71.86,3,0,29,0,75,0,0,0,3595,5,3592,11,3593,22,1,22,1,22,3594,3594,3594,3594,3595,3595,3595,3594,3594,3594,3592,3592,3592,3592,3592,3592,3592,3592,3592,3592,220,220,220,220,0,0,0,0,0,0,0,0,60,0,0,1,1,2023-10-05
09:06.3,71.86,0.43,0.85,0.3655,0,71.86,71.86,3,0,29,0,75,0,0,0,3595,5,3592,11,3593,22,1,22,1,22,3594,3594,3594,3594,3595,3595,3595,3594,3594,3594,3592,3592,3592,3592,3592,3592,3592,3592,3592,3592,220,220,220,220,0,0,0,0,0,0,0,0,60,0,0,1,1,2023-10-05
09:07.3,71.86,0.43,0.85,0.3655,0,71.86,71.86,3,0,29,0,75,0,0,0,3595,5,3592,11,3593,22,1,22,1,22,3594,3594,3594,3594,3595,3595,3595,3594,3594,3594,3592,3592,3592,3592,3592,3592,3592,3592,3592,3592,220,220,220,220,0,0,0,0,0,0,0,0,60,0,0,1,1,2023-10-05
09:08.3,71.86,0.43,0.85,0.3655,0,71.86,71.86,3,0,29,0,75,0,0,0,3595,5,3592,11,3593,22,1,22,1,22,3594,3594,3594,3594,3595,3595,3595,3594,3594,3594,3592,3592,3592,3592,3592,3592,3592,3592,3592,3592,220,220,220,220,0,0,0,0,0,0,0,0,60,0,0,1,1,2023-10-05
09:09.3,71.86,0.43,0.85,0.3655,0,71.86,71.86,3,0,29,0,75,0,0,0,3595,5,3592,11,3593,22,1,22,1,22,3594,3594,3594,3594,3595,3595,3595,3594,3594,3594,3592,3592,3592,3592,3592,3592,3592,3592,3592,3592,220,220,220,220,0,0,0,0,0,0,0,0,60,0,0,1,1,2023-10-05
09:10.3,71.86,0.43,0.85,0.3655,0,71.86,71.86,3,0,29,0,75,0,0,0,3595,5,3592,11,3593,22,1,22,1,22,3594,3594,3594,3594,3595,3595,3595,3594,3594,3594,3592,3592,3592,3592,3592,3592,3592,3592,3592,3592,220,220,220,220,0,0,0,0,0,0,0,0,60,0,0,1,1,2023-10-05
09:11.3,71.86,0.43,0.85,0.3655,0,71.86,71.86,3,0,29,0,75,0,0,0,3595,5,3592,11,3593,22,1,22,1,22,3594,3594,3594,3594,3595,3595,3595,3594,3594,3594,3592,3592,3592,3592,3592,3592,3592,3592,3592,3592,220,220,220,220,0,0,0,0,0,0,0,0,60,0,0,1,1,2023-10-05
09:12.3,71.86,0.43,0.85,0.3655,0,71.86,71.86,3,0,29,0,75,0,0,0,3595,5,3592,11,3593,22,1,22,1,22,3594,3594,3594,3594,3595,3595,3595,3594,3594,3594,3592,3592,3592,3592,3592,3592,3592,3592,3592,3592,220,220,220,220,0,0,0,0,0,0,0,0,60,0,0,1,1,2023-10-05
09:13.3,71.86,0.43,0.85,0.3655,0,71.86,71.86,3,0,29,0,75,0,0,0,3595,5,3592,11,3593,22,1,22,1,22,3594,3594,3594,3594,3595,3595,3595,3594,3594,3594,3592,3592,3592,3592,3592,3592,3592,3592,3592,3592,220,220,220,220,0,0,0,0,0,0,0,0,60,0,0,1,1,2023-10-05
09:14.3,71.86,0.43,0.85,0.3655,0,71.86,71.86,3,0,29,0,75,0,0,0,3595,5,3592,11,3593,22,1,22,1,22,3594,3594,3594,3594,3595,3595,3595,3594,3594,3594,3592,3592,3592,3592,3592,3592,3592,3592,3592,3592,220,220,220,220,0,0,0,0,0,0,0,0,60,0,0,1,1,2023-10-05
09:15.3,71.86,0.43,0.85,0.3655,0,71.86,71.86,3,0,29,0,75,0,0,0,3595,5,3592,11,3593,22,1,22,1,22,3594,3594,3594,3594,3595,3595,3595,3594,3594,3594,3592,3592,3592,3592,3592,3592,3592,3592,3592,3592,220,220,220,220,0,0,0,0,0,0,0,0,60,0,0,1,1,2023-10-05
09:16.3,71.86,0.43,0.85,0.3655,0,71.86,71.86,3,0,29,0,75,0,0,0,3595,5,3592,11,3593,22,1,22,1,22,3594,3594,3594,3594,3595,3595,3595,3594,3594,3594,3592,3592,3592,3592,3592,3592,3592,3592,3592,3592,220,220,220,220,0,0,0,0,0,0,0,0,60,0,0,1,1,2023-10-05
09:17.3,71.86,0.43,0.85,0.3655,0,71.86,71.86,3,0,29,0,75,0,0,0,3595,5,3592,11,3593,22,1,22,1,22,3594,3594,3594,3594,3595,3595,3595,3594,3594,3594,3592,3592,3592,3592,3592,3592,3592,3592,3592,3592,220,220,220,220,0,0,0,0,0,0,0,0,60,0,0,1,1,2023-10-05
09:18.3,71.86,0.43,0.85,0.3655,0,71.86,71.86,3,0,29,0,75,0,0,0,3595,5,3592,11,3593,22,1,22,1,22,3594,3594,3594,3594,3595,3595,3595,3594,3594,3594,3592,3592,3592,3592,3592,3592,3592,3592,3592,3592,220,220,220,220,0,0,0,0,0,0,0,0,60,0,0,1,1,2023-10-05
09:19.3,71.86,0.43,0.85,0.3655,0,71.86,71.86,3,0,29,0,75,0,0,0,3595,5,3592,11,3593,22,1,22,1,22,3594,3594,3594,3594,3595,3595,3595,3594,3594,3594,3592,3592,3592,3592,3592,3592,3592,3592,3592,3592,220,220,220,220,0,0,0,0,0,0,0,0,60,0,0,1,1,2023-10-05
09:20.3,71.86,0.43,0.85,0.3655,0,71.86,71.86,3,0,29,0,75,0,0,0,3595,5,3592,11,3593,22,1,22,1,22,3594,3594,3594,3594,3595,3595,3595,3594,3594,3594,3592,3592,3592,3592,3592,3592,3592,3592,3592,3592,220,220,220,220,0,0,0,0,0,0,0,0,60,0,0,1,1,2023-10-05
09:21.3,71.86,0.43,0.85,0.3655,0,71.86,71.86,3,0,29,0,75,0,0,0,3595,5,3592,11,3593,22,1,22,1,22,3594,3594,3594,3594,3595,3595,3595,3594,3594,3594,3592,3592,3592,3592,3592,3592,3592,3592,3592,3592,220,220,220,220,0,0,0,0,0,0,0,0,60,0,0,1,1,2023-10-05
09:22.3,71.86,0.43,0.85,0.3655,0,71.86,71.86,3,0,29,0,75,0,0,0,3595,5,3592,11,3593,22,1,22,1,22,3594,3594,3594,3594,3595,3595,3595,3594,3594,3594,3592,3592,3592,3592,3592,3592,3592,3592,3592,3592,220,220,220,220,0,0,0,0,0,0,0,0,60,0,0,1,1,2023-10-05
09:23.3,71.86,0.43,0.85,0.3655,0,71.86,71.86,3,0,29,0,75,0,0,0,3595,5,3592,11,3593,22,1,22,1,22,3594,3594,3594,3594,3595,3595,3595,3594,3594,3594,3592,3592,3592,3592,3592,3592,3592,3592,3592,3592,220,220,220,220,0,0,0,0,0,0,0,0,60,0,0,1,1,2023-10-05
09:24.3,71.86,0.43,0.85,0.3655,0,71.86,71.86,3,0,29,0,75,0,0,0,3595,5,3592,11,3593,22,1,22,1,22,3594,3594,3594,3594,3595,3595,3595,3594,3594,3594,3592,3592,3592,3592,3592,3592,3592,3592,3592,3592,220,220,220,220,0,0,0,0,0,0,0,0,60,0,0,1,1,2023-10-05
09:25.3,71.86,0.43,0.85,0.3655,0,71.86,71.86,3,0,29,0,75,0,0,0,3595,5,3592,11,3593,22,1,22,1,22,3594,3594,3594,3594,3595,3595,3595,3594,3594,3594,3592,3592,3592,3592,3592,3592,3592,3592,3592,3592,220,220,220,220,0,0,0,0,0,0,0,0,60,0,0,1,1,2023-10-05
09:26.3,71.86,0.43,0.85,0.3655,0,71.86,71.86,3,0,29,0,75,0,0,0,3595,5,3592,11,3593,22,1,22,1,22,3594,3594,3594,3594,3595,3595,3595,3594,3594,3594,3592,3592,3592,3592,3592,3592,3592,3592,3592,3592,220,220,220,220,0,0,0,0,0,0,0,0,60,0,0,1,1,2023-10-05
09:27.3,71.86,0.43,0.85,0.3655,0,71.86,71.86,3,0,29,0,75,0,0,0,3595,5,3592,11,3593,22,1,22,1,22,3594,3594,3594,3594,3595,3595,3595,3594,3594,3594,3592,3592,3592,3592,3592,3592,3592,3592,3592,3592,220,220,220,220,0,0,0,0,0,0,0,0,60,0,0,1,1,2023-10-05
09:28.3,71.86,0.43,0.85,0.3655,0,71.86,71.86,3,0,29,0,75,0,0,0,3595,5,3592,11,3593,22,1,22,1,22,3594,3594,3594,3594,3595,3595,3595,3594,3594,3594,3592,3592,3592,3592,3592,3592,3592,3592,3592,3592,220,220,220,220,0,0,0,0,0,0,0,0,60,0,0,1,1,2023-10-05
09:29.3,71.86,0.43,0.85,0.3655,0,71.86,71.86,3,0,29,0,75,0,0,0,3595,5,3592,11,3593,22,1,22,1,22,3594,3594,3594,3594,3595,3595,3595,3594,3594,3594,3592,3592,3592,3592,3592,3592,3592,3592,3592,3592,220,220,220,220,0,0,0,0,0,0,0,0,60,0,0,1,1,2023-10-05
09:30.3,71.86,0.43,0.85,0.3655,0,71.86,71.86,3,0,29,0,75,0,0,0,3595,5,3592,11,3593,22,1,22,1,22,3594,3594,3594,3594,3595,3595,3595,3594,3594,3594,3592,3592,3592,3592,3592,3592,3592,3592,3592,3592,220,220,220,220,0,0,0,0,0,0,0,0,60,0,0,1,1,2023-10-05
09:31.3,71.86,0.43,0.85,0.3655,0,71.86,71.86,3,0,29,0,75,0,0,0,3595,5,3592,11,3593,22,1,22,1,22,3594,3594,3594,3594,3595,3595,3595,3594,3594,3594,3592,3592,3592,3592,3592,3592,3592,3592,3592,3592,220,220,220,220,0,0,0,0,0,0,0,0,60,0,0,1,1,2023-10-05
09:32.3,71.86,0.43,0.85,0.3655,0,71.86,71.86,3,0,29,0,75,0,0,0,3595,5,3592,11,3593,22,1,22,1,22,3594,3594,3594,3594,3595,3595,3595,3594,3594,3594,3592,3592,3592,3592,3592,3592,3592,3592,3592,3592,220,220,220,220,0,0,0,0,0,0,0,0,60,0,0,1,1,2023-10-05
09:33.3,71.86,0.43,0.85,0.3655,0,71.86,71.86,3,0,29,0,75,0,0,0,3595,5,3592,11,3593,22,1,22,1,22,3594,3594,3594,3594,3595,3595,3595,3594,3594,3594,3592,3592,3592,3592,3592,3592,3592,3592,3592,3592,220,220,220,220,0,0,0,0,0,0,0,0,60,0,0,1,1,2023-10-05
09:34.3,71.86,0.43,0.85,0.3655,0,71.86,71.86,3,0,29,0,75,0,0,0,3595,5,3592,11,3593,22,1,22,1,22,3594,3594,3594,3594,3595,3595,3595,3594,3594,3594,3592,3592,3592,3592,3592,3592,3592,3592,3592,3592,220,220,220,220,0,0,0,0,0,0,0,0,60,0,0,1,1,2023-10-05
09:35.3,71.86,0.43,0.85,0.3655,0,71.86,71.86,3,0,29,0,75,0,0,0,3595,5,3592,11,3593,22,1,22,1,22,3594,3594,3594,3594,3595,3595,3595,3594,3594,3594,3592,3592,3592,3592,3592,3592,3592,3592,3592,3592,220,220,220,220,0,0,0,0,0,0,0,0,60,0,0,1,1,2023-10-05
09:36.3,71.86,0.43,0.85,0.3655,0,71.86,71.86,3,0,29,0,75,0,0,0,3595,5,3592,11,3593,22,1,22,1,22,3594,3594,3594,3594,3595,3595,3595,3594,3594,3594,3592,3592,3592,3592,3592,3592,3592,3592,3592,3592,220,220,220,220,0,0,0,0,0,0,0,0,60,0,0,1,1,2023-10-05
09:37.3,71.86,0.43,0.85,0.3655,0,71.86,71.86,3,0,29,0,75,0,0,0,3595,5,3592,11,3593,22,1,22,1,22,3594,3594,3594,3594,3595,3595,3595,3594,3594,3594,3592,3592,3592,3592,3592,3592,3592,3592,3592,3592,220,220,220,220,0,0,0,0,0,0,0,0,60,0,0,1,1,2023-10-05
09:38.3,71.86,0.43,0.85,0.3655,0,71.86,71.86,3,0,29,0,75,0,0,0,3595,5,3592,11,3593,22,1,22,1,22,3594,3594,3594,3594,3595,3595,3595,3594,3594,3594,3592,3592,3592,3592,3592,3592,3592,3592,3592,3592,220,220,220,220,0,0,0,0,0,0,0,0,60,0,0,1,1,2023-10-05
09:39.3,71.86,0.43,0.85,0.3655,0,71.86,71.86,3,0,29,0,75,0,0,0,3595,5,3592,11,3593,22,1,22,1,22,3594,3594,3594,3594,3595,3595,3595,3594,3594,3594,3592,3592,3592,3592,3592,3592,3592,3592,3592,3592,220,220,220,220,0,0,0,0,0,0,0,0,60,0,0,1,1,2023-10-05
