DateTime(yyyy-mm-dd hh:mm:ss.000),Volt,Current,,,State,Vin,Vout,Vdiff,Tdiff,SOC,SOH,SOP,FCC,RC,Cycle,Vmax,VmaxNo,Vmin,VminNo,Vavg,Tmax,TmaxNo,Tmin,TminNo,Tavg,Cell1,Cell2,Cell3,Cell4,Cell5,Cell6,Cell7,Cell8,Cell9,Cell10,Cell11,Cell12,Cell13,Cell14,Cell15,Cell16,Cell17,Cell18,Cell19,Cell20,Temp1,Temp2,Temp3,Temp4,TempFET,CB0,CB1,CB2,CB3,Fault0,Fault1,BmsSt0,BmsSt1,BmsSt2,BmsSt3,Ver,SerialNo,Manufacture
10:06.7,71.44,0.05,0.7,0.035,0,71.43,71.43,4,0,26.9,0,75,0,0,0,3574,15,3570,1,3571,22,2,22,4,22,3570,3570,3570,3570,3571,3570,3571,3571,3570,3571,3573,3573,3573,3573,3574,3574,3574,3574,3574,3573,220,220,220,220,0,0,0,0,0,0,0,0,60,0,0,1,1,2023-10-12
10:07.7,71.44,0.04,0.7,0.028,0,71.43,71.43,4,0,26.9,0,75,0,0,0,3574,15,3570,1,3571,22,2,22,4,22,3570,3570,3570,3570,3571,3570,3571,3571,3570,3571,3573,3573,3573,3573,3574,3573,3574,3573,3574,3573,220,220,220,220,0,0,0,0,0,0,0,0,60,0,0,1,1,2023-10-12
10:08.7,71.44,0.06,0.7,0.042,0,71.43,71.43,4,0,26.9,0,75,0,0,0,3574,15,3570,1,3571,22,2,22,4,22,3570,3570,3570,3571,3571,3570,3571,3571,3570,3571,3573,3573,3573,3573,3574,3573,3574,3573,3574,3573,220,220,220,220,0,0,0,0,0,0,0,0,60,0,0,1,1,2023-10-12
10:09.7,71.44,0.06,0.7,0.042,0,71.43,71.43,4,0,26.9,0,75,0,0,0,3574,15,3570,1,3571,22,2,22,4,22,3570,3570,3570,3570,3571,3570,3571,3571,3570,3571,3573,3573,3573,3573,3574,3573,3574,3573,3574,3573,220,220,220,220,0,0,0,0,0,0,0,0,60,0,0,1,1,2023-10-12
10:10.7,71.44,0.06,0.7,0.042,0,71.43,71.43,4,0,26.9,0,75,0,0,0,3574,13,3570,1,3571,22,2,22,4,22,3570,3570,3570,3570,3571,3570,3571,3571,3570,3571,3573,3573,3574,3573,3574,3573,3574,3573,3573,3573,220,220,220,220,0,0,0,0,0,0,0,0,60,0,0,1,1,2023-10-12
10:11.7,71.44,0.05,0.7,0.035,0,71.43,71.43,4,0,26.9,0,75,0,0,0,3574,15,3570,1,3571,22,2,22,4,22,3570,3570,3570,3571,3571,3570,3571,3571,3570,3571,3573,3573,3573,3573,3574,3573,3574,3573,3574,3573,220,220,220,220,0,0,0,0,0,0,0,0,60,0,0,1,1,2023-10-12
10:12.7,71.44,0.06,0.7,0.042,0,71.43,71.43,4,0,26.9,0,75,0,0,0,3574,15,3570,1,3571,22,2,22,4,22,3570,3570,3570,3570,3571,3570,3570,3571,3570,3571,3573,3571,3573,3573,3574,3573,3574,3574,3574,3573,220,220,220,220,0,0,0,0,0,0,0,0,60,0,0,1,1,2023-10-12
10:13.7,71.44,0.07,0.7,0.049,0,71.43,71.43,4,0,26.9,0,75,0,0,0,3574,13,3570,1,3571,22,2,22,4,22,3570,3570,3570,3570,3571,3570,3571,3571,3570,3571,3573,3573,3574,3573,3574,3573,3574,3573,3574,3573,220,220,220,220,0,0,0,0,0,0,0,0,60,0,0,1,1,2023-10-12
10:14.7,71.44,0.06,0.7,0.042,0,71.43,71.43,4,0,26.9,0,75,0,0,0,3574,15,3570,1,3571,22,2,22,4,22,3570,3570,3570,3570,3571,3570,3571,3571,3570,3571,3573,3573,3573,3573,3574,3574,3574,3574,3574,3573,220,220,220,220,0,0,0,0,0,0,0,0,60,0,0,1,1,2023-10-12
10:15.7,71.44,0.06,0.7,0.042,0,71.43,71.43,4,0,26.9,0,75,0,0,0,3574,15,3570,1,3571,22,2,22,4,22,3570,3570,3570,3571,3570,3570,3571,3571,3570,3571,3573,3573,3573,3573,3574,3573,3574,3574,3574,3573,220,220,220,220,0,0,0,0,0,0,0,0,60,0,0,1,1,2023-10-12
10:16.7,71.44,0.07,0.7,0.049,0,71.43,71.43,4,0,26.9,0,75,0,0,0,3574,15,3570,1,3571,22,2,22,4,22,3570,3570,3570,3571,3571,3570,3571,3570,3570,3571,3573,3573,3573,3573,3574,3574,3574,3574,3574,3573,220,220,220,220,0,0,0,0,0,0,0,0,60,0,0,1,1,2023-10-12
10:17.7,71.44,0.07,0.7,0.049,0,71.43,71.43,4,0,26.9,0,75,0,0,0,3574,15,3570,1,3571,22,2,22,4,22,3570,3570,3570,3570,3571,3570,3571,3571,3570,3571,3573,3573,3573,3573,3574,3573,3574,3573,3573,3573,220,220,220,220,0,0,0,0,0,0,0,0,60,0,0,1,1,2023-10-12
10:18.7,71.43,0.06,0.7,0.042,0,71.43,71.43,4,0,26.9,0,75,0,0,0,3574,15,3570,1,3571,22,2,22,4,22,3570,3570,3570,3570,3571,3570,3571,3571,3570,3571,3573,3571,3573,3573,3574,3573,3574,3574,3574,3571,220,220,220,220,0,0,0,0,0,0,0,0,60,0,0,1,1,2023-10-12
10:19.7,71.44,0.06,0.7,0.042,0,71.43,71.43,4,0,26.9,0,75,0,0,0,3574,15,3570,1,3571,22,2,22,4,22,3570,3570,3570,3570,3571,3570,3571,3571,3570,3571,3573,3573,3573,3573,3574,3573,3574,3573,3573,3573,220,220,220,220,0,0,0,0,0,0,0,0,60,0,0,1,1,2023-10-12
10:20.7,71.44,0.07,0.7,0.049,0,71.43,71.43,4,0,26.9,0,75,0,0,0,3574,13,3570,1,3571,22,2,22,4,22,3570,3570,3570,3570,3571,3570,3571,3571,3570,3571,3573,3573,3574,3573,3574,3573,3574,3573,3574,3573,220,220,220,220,0,0,0,0,0,0,0,0,60,0,0,1,1,2023-10-12
10:21.7,71.44,0.06,0.7,0.042,0,71.43,71.43,4,0,26.9,0,75,0,0,0,3574,17,3570,1,3571,22,2,22,4,22,3570,3570,3570,3571,3571,3570,3571,3571,3570,3571,3573,3573,3573,3573,3573,3573,3574,3573,3573,3573,220,220,220,220,0,0,0,0,0,0,0,0,60,0,0,1,1,2023-10-12
10:22.7,71.44,0.06,0.7,0.042,0,71.43,71.43,4,0,26.9,0,75,0,0,0,3574,13,3570,1,3571,22,2,22,4,22,3570,3570,3570,3570,3571,3570,3571,3571,3570,3571,3573,3573,3574,3573,3573,3573,3574,3574,3574,3573,220,220,220,220,0,0,0,0,0,0,0,0,60,0,0,1,1,2023-10-12
10:23.7,71.43,0.08,0.7,0.056,0,71.43,71.43,4,0,26.9,0,75,0,0,0,3574,16,3570,1,3571,22,2,22,4,22,3570,3570,3570,3570,3570,3570,3571,3571,3570,3571,3573,3571,3573,3573,3573,3574,3574,3573,3574,3573,220,220,220,220,0,0,0,0,0,0,0,0,60,0,0,1,1,2023-10-12
10:24.7,71.44,0.08,0.7,0.056,0,71.43,71.43,4,0,26.9,0,75,0,0,0,3574,15,3570,1,3571,22,2,22,4,22,3570,3570,3570,3571,3571,3570,3571,3571,3570,3571,3573,3573,3573,3573,3574,3573,3574,3574,3574,3573,220,220,220,220,0,0,0,0,0,0,0,0,60,0,0,1,1,2023-10-12
10:25.7,71.44,0.07,0.7,0.049,0,71.43,71.43,4,0,26.9,0,75,0,0,0,3574,15,3570,1,3571,22,2,22,4,22,3570,3570,3570,3570,3571,3570,3570,3571,3570,3571,3573,3573,3573,3573,3574,3573,3574,3574,3574,3573,220,220,220,220,0,0,0,0,0,0,0,0,60,0,0,1,1,2023-10-12
10:26.7,71.44,0.07,0.7,0.049,0,71.43,71.43,4,1,26.9,0,75,0,0,0,3574,15,3570,1,3571,22,2,21,4,21,3570,3570,3570,3570,3571,3570,3571,3571,3570,3571,3573,3573,3573,3573,3574,3573,3573,3574,3573,3573,220,220,220,210,0,0,0,0,0,0,0,0,60,0,0,1,1,2023-10-12
10:27.7,71.44,0.07,0.7,0.049,0,71.43,71.43,4,0,26.9,0,75,0,0,0,3574,15,3570,1,3571,22,2,22,4,22,3570,3570,3570,3570,3571,3570,3571,3571,3570,3571,3573,3573,3573,3573,3574,3573,3574,3573,3574,3573,220,220,220,220,0,0,0,0,0,0,0,0,60,0,0,1,1,2023-10-12
10:28.7,71.44,0.08,0.7,0.056,0,71.43,71.43,4,0,26.9,0,75,0,0,0,3574,15,3570,1,3571,22,2,22,4,22,3570,3570,3570,3570,3571,3570,3571,3570,3570,3571,3573,3573,3573,3573,3574,3573,3574,3573,3574,3573,220,220,220,220,0,0,0,0,0,0,0,0,60,0,0,1,1,2023-10-12
10:29.7,71.44,0.08,0.7,0.056,0,71.43,71.43,4,0,26.9,0,75,0,0,0,3574,15,3570,1,3571,22,2,22,4,22,3570,3570,3570,3571,3571,3570,3571,3571,3570,3571,3573,3573,3573,3573,3574,3573,3574,3574,3573,3573,220,220,220,220,0,0,0,0,0,0,0,0,60,0,0,1,1,2023-10-12
10:30.7,71.44,0.08,0.7,0.056,0,71.43,71.43,4,0,26.9,0,75,0,0,0,3574,15,3570,1,3571,22,2,22,4,22,3570,3570,3570,3570,3571,3570,3571,3571,3570,3571,3573,3573,3573,3573,3574,3573,3574,3574,3574,3573,220,220,220,220,0,0,0,0,0,0,0,0,60,0,0,1,1,2023-10-12
10:31.7,71.44,0.08,0.7,0.056,0,71.43,71.43,4,0,26.9,0,75,0,0,0,3574,15,3570,1,3571,22,2,22,4,22,3570,3570,3570,3571,3571,3570,3571,3571,3570,3571,3573,3573,3573,3573,3574,3573,3574,3574,3574,3573,220,220,220,220,0,0,0,0,0,0,0,0,60,0,0,1,1,2023-10-12
10:32.7,71.44,0.08,0.7,0.056,0,71.43,71.43,4,0,26.9,0,75,0,0,0,3574,15,3570,1,3571,22,2,22,4,22,3570,3570,3570,3570,3571,3570,3571,3571,3570,3571,3573,3573,3573,3573,3574,3573,3574,3573,3573,3573,220,220,220,220,0,0,0,0,0,0,0,0,60,0,0,1,1,2023-10-12
10:33.7,71.43,0.08,0.7,0.056,0,71.43,71.43,4,0,26.9,0,75,0,0,0,3574,15,3570,1,3571,22,2,22,4,22,3570,3570,3570,3570,3571,3570,3571,3571,3570,3571,3573,3573,3573,3573,3574,3573,3574,3573,3573,3571,220,220,220,220,0,0,0,0,0,0,0,0,60,0,0,1,1,2023-10-12
10:34.7,71.43,0.09,0.7,0.063,0,71.43,71.43,4,0,26.9,0,75,0,0,0,3574,15,3570,1,3571,22,2,22,4,22,3570,3570,3570,3570,3571,3570,3571,3571,3570,3571,3573,3573,3573,3573,3574,3573,3574,3573,3573,3571,220,220,220,220,0,0,0,0,0,0,0,0,60,0,0,1,1,2023-10-12
10:35.7,71.43,0.09,0.7,0.063,0,71.43,71.43,4,0,26.9,0,75,0,0,0,3574,15,3570,1,3571,22,2,22,4,22,3570,3570,3570,3571,3570,3570,3571,3571,3570,3570,3573,3571,3573,3573,3574,3573,3574,3573,3574,3573,220,220,220,220,0,0,0,0,0,0,0,0,60,0,0,1,1,2023-10-12
10:36.7,71.44,0.08,0.7,0.056,0,71.43,71.43,4,0,26.9,0,75,0,0,0,3574,15,3570,1,3571,22,2,22,4,22,3570,3570,3570,3570,3571,3570,3571,3571,3570,3571,3573,3573,3573,3573,3574,3573,3574,3573,3574,3573,220,220,220,220,0,0,0,0,0,0,0,0,60,0,0,1,1,2023-10-12
10:37.7,71.44,0.08,0.7,0.056,0,71.43,71.43,4,1,26.9,0,75,0,0,0,3574,15,3570,1,3571,22,2,21,4,21,3570,3570,3570,3570,3570,3570,3571,3571,3570,3571,3573,3573,3573,3573,3574,3573,3574,3573,3574,3573,220,220,220,210,0,0,0,0,0,0,0,0,60,0,0,1,1,2023-10-12
10:38.7,71.44,0.09,0.7,0.063,0,71.43,71.43,4,0,26.9,0,75,0,0,0,3574,15,3570,1,3571,22,2,22,4,22,3570,3570,3570,3570,3571,3570,3571,3571,3570,3571,3571,3573,3573,3573,3574,3573,3574,3574,3574,3573,220,220,220,220,0,0,0,0,0,0,0,0,60,0,0,1,1,2023-10-12
10:39.7,71.44,0.1,0.7,0.07,0,71.43,71.43,4,0,26.9,0,75,0,0,0,3574,15,3570,1,3571,22,2,22,4,22,3570,3570,3570,3570,3571,3570,3571,3571,3570,3571,3573,3573,3573,3573,3574,3573,3574,3574,3574,3573,220,220,220,220,0,0,0,0,0,0,0,0,60,0,0,1,1,2023-10-12
10:40.7,71.44,0.09,0.7,0.063,0,71.43,71.43,4,0,26.9,0,75,0,0,0,3574,15,3570,1,3571,22,2,22,4,22,3570,3570,3570,3570,3571,3570,3571,3571,3570,3571,3573,3573,3573,3573,3574,3573,3574,3573,3574,3573,220,220,220,220,0,0,0,0,0,0,0,0,60,0,0,1,1,2023-10-12
10:41.7,71.43,0.07,0.7,0.049,0,71.43,71.43,4,1,26.9,0,75,0,0,0,3574,15,3570,1,3571,22,2,21,4,21,3570,3570,3570,3570,3571,3570,3571,3571,3570,3571,3573,3571,3573,3573,3574,3573,3573,3573,3573,3573,220,220,220,210,0,0,0,0,0,0,0,0,60,0,0,1,1,2023-10-12
10:42.7,71.43,0.07,0.7,0.049,0,71.43,71.43,4,0,26.9,0,75,0,0,0,3574,15,3570,1,3571,22,2,22,4,22,3570,3570,3570,3570,3570,3570,3571,3570,3570,3571,3571,3571,3573,3573,3574,3573,3574,3573,3573,3573,220,220,220,220,0,0,0,0,0,0,0,0,60,0,0,1,1,2023-10-12
10:43.7,71.43,0.07,0.7,0.049,0,71.43,71.43,4,0,26.9,0,75,0,0,0,3574,15,3570,1,3571,22,2,22,4,22,3570,3570,3570,3570,3570,3570,3571,3570,3570,3571,3571,3571,3573,3573,3574,3573,3574,3573,3574,3573,220,220,220,220,0,0,0,0,0,0,0,0,60,0,0,1,1,2023-10-12
10:44.7,71.43,0.07,0.7,0.049,0,71.43,71.43,4,0,26.9,0,75,0,0,0,3574,15,3570,1,3571,22,2,22,4,22,3570,3570,3570,3570,3570,3570,3570,3570,3570,3571,3573,3571,3573,3573,3574,3573,3574,3573,3573,3573,220,220,220,220,0,0,0,0,0,0,0,0,60,0,0,1,1,2023-10-12
10:45.7,71.43,0.1,0.7,0.07,0,71.43,71.43,4,1,26.9,0,75,0,0,0,3574,15,3570,1,3571,22,2,21,4,21,3570,3570,3570,3570,3570,3570,3571,3571,3570,3571,3573,3571,3573,3573,3574,3573,3574,3573,3573,3573,220,220,220,210,0,0,0,0,0,0,0,0,60,0,0,1,1,2023-10-12
10:46.7,71.44,0.1,0.7,0.07,0,71.43,71.43,4,0,26.9,0,75,0,0,0,3574,15,3570,1,3571,22,2,22,4,22,3570,3570,3570,3570,3571,3570,3571,3571,3570,3571,3573,3573,3573,3573,3574,3573,3573,3573,3573,3573,220,220,220,220,0,0,0,0,0,0,0,0,60,0,0,1,1,2023-10-12
