DateTime(yyyy-mm-dd hh:mm:ss.000),Volt,Current,State,Vin,Vout,Vdiff,Tdiff,SOC,SOH,SOP,FCC,RC,Cycle,Vmax,VmaxNo,Vmin,VminNo,Vavg,Tmax,TmaxNo,Tmin,TminNo,Tavg,Cell1,Cell2,Cell3,Cell4,Cell5,Cell6,Cell7,Cell8,Cell9,Cell10,Cell11,Cell12,Cell13,Cell14,Cell15,Cell16,Cell17,Cell18,Cell19,Cell20,Temp1,Temp2,Temp3,Temp4,TempFET,CB0,CB1,CB2,CB3,Fault0,Fault1,BmsSt0,BmsSt1,BmsSt2,BmsSt3,Ver,SerialNo,Manufacture
2023-10-17 10:55:07.131,71.74,0.04,0,71.74,71.74,4,1.0,29.0,0,75.0,0.00,0.00,0,3589,5,3585,11,3587,23.0,2,22.0,1,22.0,3588,3588,3588,3588,3589,3588,3589,3588,3588,3588,3585,3586,3586,3586,3586,3586,3586,3586,3586,3585,220,230,220,230,0,00,00,00,00,00,00,00,60,00,00,1,1,2023-10-12
2023-10-17 10:55:08.126,71.74,0.04,0,71.74,71.74,4,1.0,29.0,0,75.0,0.00,0.00,0,3589,4,3585,11,3587,23.0,2,22.0,1,22.0,3588,3588,3588,3589,3589,3589,3589,3588,3589,3588,3585,3586,3586,3586,3586,3586,3586,3586,3586,3585,220,230,220,230,0,00,00,00,00,00,00,00,60,00,00,1,1,2023-10-12
2023-10-17 10:55:09.126,71.74,0.04,0,71.74,71.74,4,1.0,29.0,0,75.0,0.00,0.00,0,3589,4,3585,20,3587,23.0,2,22.0,1,22.0,3588,3588,3588,3589,3589,3589,3589,3588,3588,3588,3586,3586,3586,3586,3586,3586,3586,3586,3586,3585,220,230,220,230,0,00,00,00,00,00,00,00,60,00,00,1,1,2023-10-12
2023-10-17 10:55:10.126,71.74,0.04,0,71.74,71.74,4,1.0,29.0,0,75.0,0.00,0.00,0,3589,4,3585,12,3587,23.0,2,22.0,1,22.0,3588,3588,3588,3589,3589,3589,3588,3588,3589,3588,3586,3585,3586,3586,3586,3586,3586,3586,3586,3585,220,230,220,230,0,00,00,00,00,00,00,00,60,00,00,1,1,2023-10-12
2023-10-17 10:55:11.126,71.74,0.04,0,71.74,71.74,4,1.0,29.0,0,75.0,0.00,0.00,0,3589,4,3585,11,3587,23.0,2,22.0,1,22.0,3588,3588,3588,3589,3589,3589,3589,3588,3588,3588,3585,3586,3586,3586,3585,3586,3586,3586,3586,3585,220,230,220,230,0,00,00,00,00,00,00,00,60,00,00,1,1,2023-10-12
2023-10-17 10:55:12.126,71.75,0.04,0,71.74,71.74,4,1.0,29.0,0,75.0,0.00,0.00,0,3589,2,3585,20,3587,23.0,2,22.0,1,22.0,3588,3589,3588,3589,3589,3589,3589,3588,3589,3588,3586,3586,3586,3586,3586,3586,3586,3586,3586,3585,220,230,220,230,0,00,00,00,00,00,00,00,60,00,00,1,1,2023-10-12
2023-10-17 10:55:13.126,71.74,0.04,0,71.74,71.74,4,1.0,29.0,0,75.0,0.00,0.00,0,3589,4,3585,12,3587,23.0,2,22.0,1,22.0,3588,3588,3588,3589,3589,3589,3589,3588,3589,3588,3586,3585,3586,3586,3586,3586,3586,3586,3586,3585,220,230,220,230,0,00,00,00,00,00,00,00,60,00,00,1,1,2023-10-12
2023-10-17 10:55:14.126,71.49,-3.26,0,71.48,71.48,8,1.0,28.9,0,75.0,0.00,0.00,0,3579,6,3571,12,3574,23.0,4,22.0,1,22.0,3574,3576,3577,3574,3576,3579,3577,3574,3573,3576,3574,3571,3573,3574,3574,3573,3571,3574,3574,3573,220,220,220,230,0,00,00,00,00,00,00,00,60,00,00,1,1,2023-10-12
2023-10-17 10:55:15.126,71.47,-4.87,0,71.47,71.47,7,1.0,28.9,0,75.0,0.00,0.00,0,3577,6,3570,12,3573,23.0,4,22.0,3,22.0,3574,3576,3576,3574,3574,3577,3576,3574,3573,3576,3573,3570,3571,3574,3574,3571,3570,3574,3574,3571,230,230,220,230,0,00,00,00,00,00,00,00,60,00,00,1,1,2023-10-12
2023-10-17 10:55:16.126,71.47,-4.87,0,71.46,71.46,7,1.0,28.9,0,75.0,0.00,0.00,0,3577,6,3570,12,3573,23.0,2,22.0,3,22.0,3574,3576,3576,3573,3574,3577,3576,3573,3573,3574,3573,3570,3571,3573,3574,3571,3570,3574,3574,3571,220,230,220,230,0,00,00,00,00,00,00,00,60,00,00,1,1,2023-10-12
